input,output
1,0.445272432
0,0.285060055
1,0.455014795
0,0.290004351
1,0.457501566
0,0.291250661
0,0.158125306
0,0.081562648
0,0.041281323
0,0.020740661
1,0.310390331
0,0.215199165
1,0.419600383
1,0.572200351
0,0.358580208
0,0.19378611
1,0.399792256
1,0.560475968
0,0.352353952
1,0.49060017
0,0.308184724
1,0.46666929
0,0.29585003
0,0.160428092
1,0.382714662
1,0.551857454
1,0.648028752
1,0.698434381
1,0.724101191
0,0.437027396
1,0.533509058
0,0.329753601
0,0.177476615
1,0.39125827
0,0.256133128
0,0.140167362
1,0.372503841
1,0.546735952
1,0.645464783
0,0.397151753
1,0.513459749
0,0.319706649
0,0.172448679
1,0.388743411
1,0.554875519
1,0.649538523
1,0.699189414
0,0.424478737
1,0.527216175
1,0.626603449
1,0.685900797
0,0.417470213
0,0.223639069
0,0.114800327
1,0.357996322
0,0.239117393
0,0.131582543
0,0.068196041
1,0.334578974
0,0.227385678
0,0.125712077
0,0.065259886
1,0.333110713
0,0.22665151
0,0.125344986
0,0.065076339
1,0.333018939
1,0.526605623
1,0.635322042
0,0.392064867
0,0.210913203
0,0.108432755
1,0.354811608
1,0.53752485
1,0.640786234
1,0.694797879
0,0.422279892
0,0.226116136
0,0.116053306
0,0.058625701
0,0.02943266
1,0.314740292
1,0.517374938
1,0.630688428
1,0.689744406
1,0.719752241
0,0.434852128
0,0.232421266
0,0.119209673
1,0.360204645
0,0.240222284
1,0.432135134
0,0.278472366
1,0.451717142
1,0.588354763
1,0.66667662
0,0.407838158
0,0.218819048
0,0.112389518
1,0.356790758
1,0.538514579
0,0.341281129
0,0.185045333
0,0.09540362
0,0.048278001
0,0.024254238
0,0.012150167
1,0.306079693
0,0.213040768
1,0.418520569
0,0.271660321
1,0.448310168
0,0.286651085
0,0.155824743
1,0.380412212
1,0.550706074
1,0.647453031
0,0.398146514
0,0.213957257
1,0.409955428
1,0.565573074
1,0.654905609
1,0.701876619
1,0.725823072
1,0.737888489
1,0.743939635
0,0.446968896
1,0.538484263
1,0.632242095
0,0.38872104
0,0.208880519
0,0.107344259
1,0.354252929
0,0.237242625
0,0.130644544
1,0.367726919
1,0.544344389
0,0.34426838
1,0.486553427
0,0.306160561
0,0.16565705
1,0.385343879
0,0.25317501
0,0.138688119
0,0.071764182
0,0.036366116
1,0.318279863
1,0.519159292
0,0.331583518
0,0.180192534
0,0.092976422
0,0.047064242
1,0.323647327
0,0.221846705
1,0.422927961
1,0.573864902
0,0.359412635
1,0.494202355
1,0.610000385
1,0.677580034
1,0.713305985
1,0.731556186
1,0.740758732
1,0.745375494
1,0.747686972
1,0.748843331
1,0.749421635
1,0.749710811
1,0.749855404
1,0.749927702
1,0.749963851
1,0.749981925
0,0.449990963
0,0.239995481
1,0.422997741
0,0.27209887
0,0.148169435
1,0.376508718
0,0.248739159
1,0.436466539
1,0.580652662
1,0.662810209
1,0.70590188
1,0.727850295
1,0.738905019
0,0.444448484
0,0.237223437
0,0.121611557
0,0.061405746
1,0.330822867
0,0.225435432
0,0.124722516
0,0.064762218
1,0.332861301
1,0.526526689
0,0.335282552
1,0.482045118
1,0.603903327
1,0.674527817
0,0.411779139
1,0.520792616
1,0.623376917
0,0.38428458
1,0.506661515
0,0.316234602
1,0.47069807
0,0.297865189
1,0.461435825
1,0.593218559
1,0.669109409
0,0.40905473
1,0.51942737
0,0.322693686
1,0.473942843
1,0.599490622
1,0.672249151
1,0.710625343
0,0.430212825
1,0.530086443
0,0.328039228
1,0.476618815
0,0.300829248
0,0.162918592
0,0.08396009
1,0.342480204
0,0.231340134
1,0.427690073
1,0.576249038
0,0.360605319
1,0.49479882
0,0.310298642
1,0.467729167
0,0.296380553
1,0.46069347
1,0.592847374
0,0.368923815
1,0.498961933
1,0.612380972
1,0.678770487
1,0.713901244
0,0.431853822
0,0.230907551
1,0.418449903
1,0.569824177
0,0.357031934
1,0.492939936
1,0.609354762
1,0.67725434
1,0.713142562
1,0.731474359
1,0.740717795
0,0.445355021
0,0.237676735
0,0.121838212
1,0.361519075
0,0.240879531
0,0.132463764
0,0.068636682
0,0.034799301
0,0.017495842
1,0.30876716
1,0.514387427
0,0.329194483
1,0.478997396
0,0.302378729
0,0.16376537
1,0.384397886
1,0.552701983
0,0.3484516
0,0.188645922
1,0.397206985
1,0.559180297
0,0.35170551
0,0.190275827
1,0.398022528
1,0.559588187
1,0.651909478
1,0.700377816
1,0.725073523
1,0.737513685
0,0.443752227
0,0.23687519
0,0.121437411
0,0.061318668
0,0.030779327
0,0.015413662
1,0.307711631
1,0.513856775
0,0.32892858
1,0.478864328
0,0.302312172
0,0.163732087
1,0.384381244
1,0.552693662
0,0.348447439
0,0.188643841
0,0.097205945
0,0.049179777
1,0.32470525
1,0.522375697
0,0.333192463
1,0.480997154
1,0.603378762
0,0.374265418
1,0.501647916
0,0.313727
1,0.469444108
1,0.597238176
1,0.671122312
1,0.710061801
0,0.429931029
1,0.529945541
0,0.327968775
1,0.476583589
0,0.300811635
0,0.162909785
1,0.383955686
0,0.252478002
1,0.438339033
1,0.581589523
1,0.663278763
1,0.706136182
0,0.427967451
1,0.528963597
0,0.327477773
1,0.476338081
1,0.60068888
1,0.672848408
0,0.410924997
0,0.220362657
0,0.11316136
0,0.057176687
1,0.328707545
0,0.224377613
0,0.124193574
0,0.064497741
1,0.332729061
1,0.526460569
0,0.335249492
1,0.482028588
1,0.603895062
1,0.674523685
1,0.711777073
0,0.430791583
1,0.530376401
0,0.328184322
0,0.176691385
1,0.390865538
0,0.255936738
0,0.140069163
1,0.37245474
1,0.546711402
0,0.345452507
1,0.487145615
1,0.60645668
1,0.675805114
0,0.412417912
0,0.221112027
1,0.413536628
1,0.567364437
1,0.655801443
0,0.402324566
1,0.516047052
1,0.62100048
0,0.383095631
0,0.206066894
1,0.405937262
1,0.563549394
0,0.35389085
0,0.191368655
1,0.398568974
1,0.559861416
1,0.652046094
1,0.700446124
0,0.425107677
1,0.527530762
0,0.326760766
1,0.47597946
0,0.300509545
0,0.162758736
0,0.08388016
0,0.042440239
0,0.021320151
0,0.010680082
1,0.305344042
1,0.512672821
1,0.628336571
1,0.688568317
0,0.419164165
0,0.224558084
0,0.115274242
0,0.058236161
1,0.329237889
0,0.224642906
1,0.424326245
1,0.574564081
0,0.359762232
1,0.494377154
0,0.310087785
0,0.167623734
0,0.086327835
0,0.043667111
1,0.321934194
0,0.220987225
1,0.422497638
0,0.273649624
1,0.449304973
0,0.287148519
1,0.456073466
0,0.290536574
0,0.157768255
1,0.381384121
1,0.551192059
0,0.347696029
0,0.188268015
0,0.097018007
1,0.349085804
1,0.534658262
0,0.339352203
1,0.484080716
1,0.604921281
0,0.375036825
1,0.502033649
1,0.613919872
1,0.679540546
0,0.414286395
0,0.222046422
1,0.414003856
1,0.567598057
0,0.355918254
1,0.492382972
0,0.309076255
0,0.167115081
0,0.086072931
0,0.043539544
1,0.321870388
0,0.220955317
0,0.122481683
0,0.063641646
1,0.332300984
1,0.526246524
1,0.635142469
0,0.391975076
0,0.210868306
1,0.408410307
0,0.264800384
0,0.144519238
0,0.074683428
1,0.337826476
1,0.52901019
1,0.636524486
1,0.692666121
0,0.421213836
1,0.525583073
0,0.325786768
0,0.17549243
1,0.390266024
0,0.255636974
0,0.139919279
1,0.372379798
1,0.546673931
1,0.645433772
0,0.397136247
0,0.213451996
0,0.109702772
0,0.055446741
0,0.027842442
1,0.313945035
0,0.21697728
1,0.420489593
0,0.272644987
1,0.448802532
0,0.286897273
1,0.455947838
1,0.590473759
1,0.667736848
1,0.708368417
1,0.729084207
1,0.739522103
0,0.444757052
0,0.237377726
1,0.421688703
0,0.271444319
1,0.447842153
1,0.586345075
1,0.665657337
0,0.407325629
0,0.218562206
0,0.112260982
0,0.056726466
1,0.328482428
0,0.224265053
0,0.124137294
1,0.364469601
0,0.242714991
1,0.433453534
0,0.279145974
0,0.152056829
1,0.378525183
1,0.549761945
1,0.646980843
0,0.397910396
0,0.213839193
0,0.109896395
0,0.055543557
1,0.327890851
0,0.22396924
0,0.123989383
0,0.064395644
0,0.032678012
0,0.016435044
1,0.30823673
0,0.214122206
1,0.419061872
1,0.571931089
1,0.658445575
0,0.403718794
1,0.516758598
1,0.621359139
